id,produto,texto,descricao
1,VX-200,"Instalacao simples, o manual e claro e o suporte respondeu na hora.",Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
2,VX-100,"Excelente acabamento, muito superior ao que eu usava antes.",Equipamento agricola compacto motorizado para pequenas propriedades
3,Esteira EX-5,"Robusto, silencioso e economico. Superou a expectativa.",Esteira transportadora industrial em lona reforcada com motor eletrico
4,VX-200,Atendimento rapido e produto de qualidade. Recomendo.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
5,VX-100,"Funciona como esperado, nada de excepcional mas cumpre o que promete.",Equipamento agricola compacto motorizado para pequenas propriedades
6,Esteira EX-5,"Robusto, silencioso e economico. Superou a expectativa.",Esteira transportadora industrial em lona reforcada com motor eletrico
7,VX-100,"Instalacao simples, o manual e claro e o suporte respondeu na hora.",Equipamento agricola compacto motorizado para pequenas propriedades
8,VX-200,"O suporte e inexistente, esperei nove dias por uma resposta.",Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
9,Kit Manutencao,Vale cada centavo. Reduziu o tempo de operacao pela metade.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
10,VX-100,Peca de reposicao caríssima e sempre em falta no estoque.,Equipamento agricola compacto motorizado para pequenas propriedades
11,VX-200,"Excelente acabamento, muito superior ao que eu usava antes.",Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
12,Filtro FR-88,"Atendimento despreparado, transferiram minha ligacao quatro vezes.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
13,Filtro FR-88,Segunda vez com o mesmo defeito. Perdi a confianca na marca.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
14,Esteira EX-5,"Robusto, silencioso e economico. Superou a expectativa.",Esteira transportadora industrial em lona reforcada com motor eletrico
15,VX-200,"Atende bem, mas o prazo de entrega foi maior que o informado.",Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
16,Esteira EX-5,"Excelente acabamento, muito superior ao que eu usava antes.",Esteira transportadora industrial em lona reforcada com motor eletrico
17,VX-200,Entrega atrasou quinze dias e o produto veio incompleto.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
18,VX-200,Quebrou em duas semanas de uso normal. Pessimo.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
19,Kit Manutencao,"Ja e o terceiro que compro, nunca me deixou na mao.","Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
20,VX-100,Atendimento rapido e produto de qualidade. Recomendo.,Equipamento agricola compacto motorizado para pequenas propriedades
21,Filtro FR-88,Quebrou em duas semanas de uso normal. Pessimo.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
22,Esteira EX-5,"Produto ok pelo preco, embora o manual pudesse ser melhor.",Esteira transportadora industrial em lona reforcada com motor eletrico
23,VX-100,"Atende bem, mas o prazo de entrega foi maior que o informado.",Equipamento agricola compacto motorizado para pequenas propriedades
24,Esteira EX-5,"Ja e o terceiro que compro, nunca me deixou na mao.",Esteira transportadora industrial em lona reforcada com motor eletrico
25,VX-200,Chegou antes do prazo e ja esta funcionando sem nenhum problema.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
26,Filtro FR-88,"Excelente acabamento, muito superior ao que eu usava antes.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
27,VX-100,"Atendimento despreparado, transferiram minha ligacao quatro vezes.",Equipamento agricola compacto motorizado para pequenas propriedades
28,Filtro FR-88,Entrega pontual e embalagem impecavel. Produto perfeito.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
29,Kit Manutencao,Segunda vez com o mesmo defeito. Perdi a confianca na marca.,"Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
30,VX-100,Atendimento rapido e produto de qualidade. Recomendo.,Equipamento agricola compacto motorizado para pequenas propriedades
31,Esteira EX-5,Razoavel. Esperava um pouco mais de potencia pelo valor.,Esteira transportadora industrial em lona reforcada com motor eletrico
32,Esteira EX-5,Atendimento rapido e produto de qualidade. Recomendo.,Esteira transportadora industrial em lona reforcada com motor eletrico
33,VX-100,"Funciona como esperado, nada de excepcional mas cumpre o que promete.",Equipamento agricola compacto motorizado para pequenas propriedades
34,VX-200,"O suporte e inexistente, esperei nove dias por uma resposta.",Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
35,VX-100,"Manual so em ingles, meus operadores nao conseguiram usar.",Equipamento agricola compacto motorizado para pequenas propriedades
36,Esteira EX-5,"Robusto, silencioso e economico. Superou a expectativa.",Esteira transportadora industrial em lona reforcada com motor eletrico
37,Esteira EX-5,Consumo de energia muito acima do que diz a ficha tecnica.,Esteira transportadora industrial em lona reforcada com motor eletrico
38,Filtro FR-88,Chegou com a carcaca amassada e ninguem respondeu meu chamado.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
39,VX-200,Consumo de energia muito acima do que diz a ficha tecnica.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
40,Filtro FR-88,Peca de reposicao caríssima e sempre em falta no estoque.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
41,VX-200,Vale cada centavo. Reduziu o tempo de operacao pela metade.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
42,Kit Manutencao,"Instalacao simples, o manual e claro e o suporte respondeu na hora.","Conjunto de pecas de reposicao, correias, vedacoes e lubrificante"
43,Esteira EX-5,Consumo de energia muito acima do que diz a ficha tecnica.,Esteira transportadora industrial em lona reforcada com motor eletrico
44,VX-200,Entrega atrasou quinze dias e o produto veio incompleto.,Equipamento agricola motorizado de alta potencia para uso continuo em lavoura
45,Esteira EX-5,"Produto ok pelo preco, embora o manual pudesse ser melhor.",Esteira transportadora industrial em lona reforcada com motor eletrico
46,Filtro FR-88,Consumo de energia muito acima do que diz a ficha tecnica.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
47,Esteira EX-5,"Atendimento despreparado, transferiram minha ligacao quatro vezes.",Esteira transportadora industrial em lona reforcada com motor eletrico
48,Filtro FR-88,"Funciona como esperado, nada de excepcional mas cumpre o que promete.",Filtro de reposicao em fibra sintetica para equipamentos da linha VX
49,Filtro FR-88,Entrega atrasou quinze dias e o produto veio incompleto.,Filtro de reposicao em fibra sintetica para equipamentos da linha VX
